2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6b5bcec4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5cd00575 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5e5c196c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@efa7645 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3be2a4b0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@67c5e514 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@596c07f9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:51:01 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4791acf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62b544c7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53452005 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c5a8f44 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fd28d39 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5d022d2e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27bd6b83 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f75f09f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@24a5070d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@688235ea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:55:47 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@242faa0a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:57:19 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-02-09 10:57:19 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
