2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7afb8a2b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@193acde1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7806636a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4571d86a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63fdb83d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ce73466 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@67310fa3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2cc839a7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 01:04:42 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@22fa5053 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@209ae0f0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63c4d6f5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1feb0952 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6881f73f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@bdd2c1f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4e6b20ef (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@98d01e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e5227e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c0d43e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:48:44 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1bf666df (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:50:55 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c0b77f7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
