2021-01-27 15:03:27 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2992147d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:03:27 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62f743fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@605f0ffd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34d04b27 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@29589a9f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@21dfc2c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7d4d0edc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4b72eb21 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26930cb2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79854b23 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6c2b8121 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 15:12:30 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@30dc4466 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:00:52 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@12b6f72e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:00:52 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43ee83db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:00:52 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@483636d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
