2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68e2ebcc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13389cf4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64595fbe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@411f389e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e5c07fa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69d4f3f9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@47dee5d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fbdfe7f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:24:37 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f853157 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:24:37 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1d8d7196 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
