2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72c1941 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@38e4a440 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7d942c0d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13e7f99c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a48d2d5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@97e1457c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c332e1e4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 00:34:48 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@78b5f20d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 01:26:10 |WARN  |HikariPool-1 housekeeper |HikariPool.java:787 |com.zaxxer.hikari.pool.HikariPool |HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=21m53s584ms636µs100ns).
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8ed090eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
