2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cdc715 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d9db9e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@56cc0d28 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23880a4c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@49978447 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2925662c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1fb69b6d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:18:33 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c8f38bd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4c23273d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@648ecc60 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@19289bf0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4c674d27 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@65e55113 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@779a6c03 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
