2021-01-28 12:39:43 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-28 12:39:43 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71dcc1ca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4a7cc46e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ea392de (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@74bab7b8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e698fb5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@429a69a2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@40ad264d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@618b4e97 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43bd6134 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:43:54 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@527bd798 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6084c3e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@723ae9d5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@19b833bb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e2502cb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@66932373 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1bbfcc0d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2dbaa6eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@52cd9094 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
