2021-01-22 19:35:02 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@cd95ffe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2759ef (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@669b2e04 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@406c9533 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10e3d35d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4ecbcc57 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@719f3084 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@557ef689 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b09be40 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4b306802 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
