2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b5791ef (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60ede89c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6dafc8c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7ce65c90 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6b29720a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@640fcefb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77f5ab33 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 00:56:31 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@39397b81 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3429a47 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b34f618 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
