2021-01-24 00:17:32 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79dc6a84 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6bc4a09 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4c75c879 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ff4be60 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13bb489f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77b3b4e3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@15678c6c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f1a271e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26ac75d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:17:33 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4c52d948 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a23a528 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fe6377f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@454da383 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@727054e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@420b135b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c1889aa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@24e16211 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5446cd06 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4ecd8d1e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 09:55:01 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@65018b4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@105af3ac (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@75b06835 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d80beed (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ed0388f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e9059e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@59507f6a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ab05dff (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1fc1af0f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@14191c8d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 12:09:57 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@173e1dcc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 19:50:21 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-24 19:50:21 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4b98b52f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2c5f8071 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b9378c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e06cb79 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a3e8193 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13fe8d30 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b1bc135 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@55d7efdc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7e7c477b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
