2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9f1d8c1a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@92ce982f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a0bf1286 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2e74ad25 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@82a89f9a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@88e85383 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f8a738d5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:36:52 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8914fffe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@207ce4f3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@ed22a7bc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6a8679e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f5592b09 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c080f7c4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a8d03338 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@bff1c512 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b52c3b9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@600ee34 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 00:48:15 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d81c0cbf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-26 08:55:23 |WARN  |HikariPool-1 housekeeper |HikariPool.java:787 |com.zaxxer.hikari.pool.HikariPool |HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7h48m1s71ms198µs600ns).
