2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6b663852 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9a2adf0e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7e6922c5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5da79e2a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8ae6f9e5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8a385830 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@22c4f183 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9e01146a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a2a7bc9f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-25 00:16:48 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@bff16820 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
